indexnummer,klachtnummer,naam,email,telefoon,hoofdcategorie,subcategorie,behandeltermijn,status,bron,gebied,wijk,tevredenheid,team,wijziging,datum,behandelsduur
0,KL1C931010,Noah Bakker,noah.bakker4@hotmail.com,0642228038,Groenvoorziening,Overhangend groen,14 dagen,Openstaand,app,Tongelre,De Laak,,Team Groenvoorziening,0,2025-02-13,
1,KL0682E2BD,Finn van Dijk,finn.van dijk5@hotmail.com,0646979779,Groenvoorziening,Omgevallen boom,2 dagen,Openstaand,app,Stratum,Putten,,Team Groenvoorziening,0,2025-02-26,
2,KLF8E80B61,Liam van Dijk,liam.van dijk873@gmail.com,0696089683,Afval en reiniging,Verstopte putten,3 dagen,Afgehandelde klacht,internet,Woensel Zuid,Erp,Ontevreden,Team Reiniging,0,2025-02-22,8.0
3,KL1A591A7D,Sophie van Dijk,sophie.van dijk935@hotmail.com,,Afval en reiniging,Niet geleegde containers,3 dagen,Heropend,app,Stratum,Putten,,Team Reiniging,0,2025-02-10,
4,KLA6561BAD,Mila Bakker,mila.bakker67@gmail.com,0611074090,Afval en reiniging,Dumping grofvuil,5 dagen,Heropend,onbekend,Strijp,Meerhoven,,Team Reiniging,0,2025-02-05,
5,KLF3D4CAAF,Julia Visser,julia.visser606@outlook.com,0619061941,Groenvoorziening,Omgevallen boom,2 dagen,In behandeling,formulier,Gestel,Oud-Gestel,,Team Groenvoorziening,0,2025-02-11,
6,KLAC11AD23,Mila de Vries,mila.de vries372@voorbeeld.nl,0659544357,Geluidsoverlast,Bouw/sloopwerkzaamheden,7 dagen,Geannuleerd,app,Woensel Zuid,Erp,,Team Handhaving,0,2025-02-22,
7,KL5D9F29F4,Sophie Koster,sophie.koster796@gmail.com,0670835149,Verkeer en wegen,Losliggende stoeptegel,10 dagen,Geannuleerd,app,Stratum,Oud-Stratum,,Team Wegen & Verkeer,0,2025-02-22,
8,KL93D8CBD1,Mila Bakker,mila.bakker627@hotmail.com,0690357581,Afval en reiniging,Niet geleegde containers,3 dagen,Afgehandelde klacht,telefoon,Stratum,Kortonjo,Zeer ontevreden,Team Reiniging,0,2025-02-12,13.0
9,KL962ED51B,Liam de Boer,liam.de boer623@gmail.com,,Spelen en sport,Vervuiling sportveld,7 dagen,Openstaand,app,Gestel,Rozenknopje,,Team Spelen & Sport,0,2025-02-05,
10,KL849D6BA2,Finn de Vries,finn.de vries675@outlook.com,0693601928,Groenvoorziening,Omgevallen boom,2 dagen,Geannuleerd,telefoon,Centrum,Witte Dame,,Team Groenvoorziening,0,2025-02-07,
11,KLD343E953,Liam Mulder,liam.mulder874@hotmail.com,0614858408,Afval en reiniging,Dumping grofvuil,5 dagen,Geannuleerd,app,Centrum,TU-terrein,,Team Reiniging,0,2025-02-04,
12,KL0BEA4580,Tess Jansen,tess.jansen409@outlook.com,0629408962,Zorg en ondersteuning,Wmo/aanvragen,14 dagen,In behandeling,internet,Centrum,De Bergen,,Team Sociaal Domein,0,2025-02-13,
